Sample,Plot,Stage,Man_Style,Plot_Type,Num_Stage,Date_Collect,OBS,SHNN,INVSMP
X807.V5,807,V5,ORG,Fallow,3,7/5/2022,113,1.6664556,3.569358
X301.SC,301,SC,ORG,Clover,8,11/12/2022,106,2.1489139,5.701914
X30.R5,30,R5,CON,CON,7,9/23/2022,96,1.4368533,2.539089
X512.ES,512,ES,ORG,Clover,2,11/12/2022,80,0.4680645,1.185308
X301.VT,301,VT,ORG,Clover,5,8/13/2022,99,1.5262437,3.37972
X305.SC,305,SC,ORG,Triticale,8,11/12/2022,124,2.2193259,5.72672
X1001.V5,1001,V5,ORG,Fallow,3,7/5/2022,104,2.1824847,6.537528
X802.ES,802,ES,ORG,Radish,2,11/12/2022,68,1.1162223,2.376055
X1002.V5,1002,V5,ORG,Triticale,3,7/5/2022,110,1.7563751,3.711526
X802.SC,802,SC,ORG,Radish,8,11/12/2022,123,2.2571349,5.959217
X308.R3,308,R3,ORG,Radish,6,9/3/2022,92,1.9348109,4.435819
X308.V5,308,V5,ORG,Radish,3,7/5/2022,92,1.4224081,2.7496
X1002.ES,1002,ES,ORG,Triticale,2,11/12/2022,74,0.6300474,1.387756
XCON,CON,Seed,CON,CON,1,5/10/2022,87,0.3633123,1.12363
X308.R5,308,R5,ORG,Radish,7,9/29/2023,118,1.9528913,5.085306
X807.ES,807,ES,ORG,Fallow,2,11/12/2022,84,0.8276272,1.659319
X802.R5,802,R5,ORG,Radish,7,9/29/2023,98,1.5917354,3.283567
X1002.R3,1002,R3,ORG,Triticale,6,9/3/2022,111,1.5651165,3.236073
X32.R3,32,R3,CON,CON,6,8/13/2023,86,1.3786332,2.683561
X1001.V12,1001,V12,ORG,Fallow,4,7/27/2023,68,1.2891826,2.542532
X308.VT,308,VT,ORG,Radish,5,8/13/2022,99,1.5161023,3.437416
X32.ES,32,ES,CON,CON,2,11/12/2022,69,0.3803297,1.133761
MCO,MCO,Seed,ORG,ORG,1,6/7/2023,74,0.7639327,1.56201
X305.R5,305,R5,ORG,Triticale,7,9/29/2023,123,1.6930191,4.319323
X305.VT,305,VT,ORG,Triticale,5,8/13/2022,114,1.6104534,4.049439
X512.V5,512,V5,ORG,Clover,3,7/5/2022,90,1.1861022,1.96706
X802.VT,802,VT,ORG,Radish,5,8/13/2022,103,1.4889704,3.388574
X1001.VT,1001,VT,ORG,Fallow,5,8/13/2022,84,1.6046432,4.059007
X301.V12,301,V12,ORG,Clover,4,7/27/2023,75,1.4429047,2.991093
X802.R3,802,R3,ORG,Radish,6,9/3/2022,96,1.4380394,3.000198
X1001.R3,1001,R3,ORG,Fallow,6,9/3/2022,99,1.420574,2.79409
X1002.VT,1002,VT,ORG,Triticale,5,8/13/2022,79,1.5261228,3.602965
X1002.V12,1002,V12,ORG,Triticale,4,7/27/2023,88,1.6751514,3.77356
X31.V12,31,V12,CON,CON,4,7/6/2022,64,2.1838278,6.178556
X31.R3,31,R3,CON,CON,6,8/13/2022,89,1.5743723,3.731771
X30.VT,30,VT,CON,CON,5,7/27/2023,86,1.5926864,2.869237
X32.R5,32,R5,CON,CON,7,9/23/2022,123,1.8423731,4.182623
X807.V12,807,V12,ORG,Fallow,4,7/27/2023,72,1.3982144,2.462236
X512.R3,512,R3,ORG,Clover,6,9/3/2022,90,1.4228792,2.73259
X31.V5,31,V5,CON,CON,3,6/6/2022,84,1.4083973,2.555175
X32.SC,32,SC,CON,CON,8,11/12/2022,102,2.4620149,7.552795
X32.VT,32,VT,CON,CON,5,7/27/2023,66,1.1191938,1.958447
X305.ES,305,ES,ORG,Triticale,2,11/12/2022,79,1.3509734,2.828986
X30.ES,30,ES,CON,CON,2,11/12/2022,91,1.1429873,2.285076
X305.V5,305,V5,ORG,Triticale,3,7/5/2022,102,1.3774987,2.542524
X31.R5,31,R5,CON,CON,7,9/23/2022,107,1.8867951,3.986556
X32.V5,32,V5,CON,CON,3,6/6/2022,109,1.9322272,4.370638
X802.V5,802,V5,ORG,Radish,3,7/5/2022,109,1.5859039,3.130704
X31.ES,31,ES,CON,CON,2,11/12/2022,99,0.3693458,1.124109
