otu name,807.V5,301.SC,30.R5,512.ES,301.VT,305.SC,1001.V5,802.ES,1002.V5,802.SC,308.R3,308.V5,1002.ES,CON,308.R5,807.ES,802.R5,1002.R3,32.R3,1001.V12,308.VT,32.ES,MCO,305.R5,305.VT,512.V5,802.VT,1001.VT,301.V12,802.R3,1001.R3,1002.VT,1002.V12,31.V12,31.R3,30.VT,32.R5,807.V12,512.R3,31.V5,32.SC,32.VT,305.ES,30.ES,305.V5,31.R5,32.V5,802.V5,31.ES,512.V12,807.R3,308.V12,31.VT,30.R3,1002.SC,807.VT,30.V5,802.V12,305.V12,301.ES,301.R3,308.ES,1001.ES,31.SC,301.R5,30.SC,308.SC,807.SC,512.R5,305.R3,1002.R5,1001.SC,512.SC,32.V12,807.R5,30.V12,1001.R5,512.VT,301.V5,CON.2,CON.3,MCO.2,MCO.3,Neg.con1,Neg.con2
Zotu1,47081,7083,32145,835,34117,7419,14036,721,29329,11180,12954,29662,1155,694,19619,871,30637,24216,32668,12276,30302,764,996,24062,31850,44875,35346,17731,23203,26457,27162,22410,18300,10482,23577,2936,28389,25005,24924,13187,10302,7821,791,1414,36986,21708,9045,30293,1351,24896,24148,17058,2057,22408,5469,22053,28558,22867,12519,776,19401,600,80,7970,12320,5433,4980,11233,30057,24569,28748,10874,7227,36261,35337,6153,35526,22117,27142,1067,807,933,464,2,5
Zotu2,4413,17875,2639,1575,13324,22067,9221,270,6193,18917,6295,4008,522,335,3540,1037,3159,1761,11198,294,14630,335,13003,1330,23888,2165,21952,22086,319,1736,584,8317,607,583,22350,270,4520,583,544,1596,5330,250,387,56011,3251,3515,7021,2641,828,1983,9615,426,255,12266,11629,18157,7326,486,530,461,794,487,63,10452,2602,12690,15528,16694,1273,2340,2816,21810,27721,4613,3493,173,5691,21414,5458,745,517,25232,487,1,4
Zotu3,7062,14777,4187,472,9463,9669,7664,362,3123,11519,19764,2187,545,381,4273,424,6033,22537,1926,28420,8521,381,473,4484,14412,5103,9074,11716,16369,17524,17771,7006,15332,8443,5370,3305,5726,6457,14922,1314,3590,1855,426,710,2767,3358,4633,1601,889,18593,19688,9316,1118,4458,8928,6915,1363,19669,9156,471,19320,389,91,3061,3540,5058,11973,7992,10724,12792,5667,13733,12845,1925,6526,6141,5299,5752,8036,672,554,547,278,0,6
Zotu4,405,287,248,70496,336,247,205,4151,252,208,208,190,10755,49374,190,12353,244,219,210,216,292,57935,925,357,411,293,300,222,189,202,211,175,157,154,318,199,467,138,202,197,212,124,18653,381,256,327,527,224,102254,479,562,475,345,503,247,930,642,440,448,1077,445,34213,5779,372,460,733,417,357,496,353,464,501,581,607,492,234,554,478,485,82132,26682,35848,963,0,1
Zotu5,5635,3956,9906,269,11344,3107,3529,221,3814,6391,6568,3717,328,207,9307,255,13360,7682,7543,6446,9946,273,316,12276,13491,1860,10300,7985,6395,7845,5946,12029,11697,2849,9624,562,13862,5544,4167,664,6132,274,232,418,5278,9874,1536,4435,501,9262,9209,3903,2968,8743,4142,7257,1097,5406,5459,254,9732,206,24,5809,6750,3185,2565,5662,9655,7639,7275,5327,3264,2682,9723,142,12096,6865,6223,357,283,302,114,0,4
Zotu6,32349,1155,2009,303,2467,2037,4980,194,22047,2384,646,12273,349,215,442,280,786,423,2793,190,1877,226,339,454,3760,7652,2033,3018,315,333,329,1654,977,8781,3740,212,2452,1018,208,30265,1038,586,238,481,12006,1894,27961,18506,316,2298,385,360,85,3075,1633,1101,24002,208,10424,174,142,141,24,1328,288,2649,1638,2042,227,454,611,2077,1555,10692,597,1715,835,1191,13705,224,168,244,98,0,0
Zotu7,359,194,178,1777,236,220,186,33073,222,212,216,176,76726,522,179,48757,196,190,143,142,208,212,242,293,308,213,264,197,175,153,162,158,150,187,217,144,251,148,202,146,130,124,9663,29506,217,180,223,208,454,87,100,73,11081,87,101,89,91,91,77,25647,90,12724,3898,56,93,72,83,66,72,89,96,96,105,98,87,37,99,77,73,193,142,148,12108,1,0
Zotu8,290,15537,796,175,219,11388,141,112,182,1148,262,133,195,123,7162,166,1031,351,677,117,145,140,144,33017,223,172,232,198,125,130,143,135,134,111,171,122,10693,93,133,133,1771,28896,147,268,157,3979,171,144,269,145,154,87,97,115,5029,140,173,129,124,144,223,118,21,1871,38543,4785,5319,975,2642,141,6150,946,374,1024,994,61,1270,142,148,241,168,196,91,0,0
Zotu9,136,48,55,170,91,62,69,120,85,62,74,61,103,162,88,124,81,64,65,43,75,877,61172,103,83,62,91,70,56,49,47,53,80,46,70,56,101,39,46,65,41,36,5593,118,75,62,112,55,537,131,128,184,73,109,63,127,138,95,110,46737,141,6172,64,72,114,74,104,95,117,94,94,115,129,139,104,42,133,108,118,687,234,2294,33414,0,0
Zotu10,126,87,336,142,86,91,73,72,87,108,60,64,115,9131,119,16223,115,65,230,55,84,95,113,213,110,91,115,72,71,61,73,64,68,46,186,64,6095,63,63,68,591,50,35152,142,95,3957,79,82,127,44,65,75,24,214,26,41,56,30,37,81,30,2116,233,676,70,254,46,25,57,31,76,44,42,181,73,10,82,40,59,2096,9102,68,36,1,1
