,Kingdon,Phylum,Class,Order,Family,Genus,Species
Zotu1,fungi,ascomycota,dothideomycetes,pleosporales,didymellaceae,epicoccum,epicoccum nigrum
Zotu2,fungi,ascomycota,dothideomycetes,cladosporiales,cladosporiaceae,cladosporium,cladosporium cladosporioides
Zotu3,fungi,ascomycota,dothideomycetes,pleosporales,pleosporaceae,alternaria,alternaria alternata
Zotu4,fungi,ascomycota,sordariomycetes,hypocreales,nectriaceae,fusarium,gibberella zeae
Zotu5,fungi,ascomycota,dothideomycetes,pleosporales,didymellaceae,epicoccum,epicoccum nigrum
Zotu6,fungi,ascomycota,dothideomycetes,cladosporiales,cladosporiaceae,cladosporium,cladosporium oxysporum
Zotu7,fungi,ascomycota,sordariomycetes,hypocreales,sarocladiaceae,sarocladium,sarocladium zeae
Zotu8,fungi,ascomycota,dothideomycetes,pleosporales,pleosporaceae,setosphaeria,setosphaeria monoceras
Zotu9,fungi,ascomycota,sordariomycetes,hypocreales,nectriaceae,fusarium,gibberella fujikuroi
Zotu11,fungi,ascomycota,sordariomycetes,glomerellales,glomerellaceae,colletotrichum,glomerella graminicola
Zotu12,fungi,ascomycota,dothideomycetes,mycosphaerellales,mycosphaerellaceae,cercospora,cercospora zeae
Zotu13,fungi,ascomycota,dothideomycetes,pleosporales,pleosporaceae,bipolaris,bipolaris microstegii
Zotu14,fungi,ascomycota,dothideomycetes,pleosporales,pleosporaceae,bipolaris,bipolaris microstegii
Zotu15,fungi,ascomycota,dothideomycetes,pleosporales,pleosporaceae,alternaria,alternaria padwickii
Zotu16,fungi,ascomycota,dothideomycetes,pleosporales,didymellaceae,didymella,didymella exitialis
Zotu17,fungi,ascomycota,dothideomycetes,pleosporales,didymellaceae,phoma,phoma herbarum
Zotu19,fungi,ascomycota,saccharomycetes,saccharomycetales,debaryomycetaceae,candida,candida quercitrusa
Zotu20,fungi,ascomycota,sordariomycetes,hypocreales,nectriaceae,fusarium,gibberella pulicaris
Zotu21,fungi,ascomycota,dothideomycetes,pleosporales,didymellaceae,didymella,didymella exitialis
Zotu22,fungi,ascomycota,sordariomycetes,xylariales,apiosporaceae,nigrospora,nigrospora oryzae
Zotu23,fungi,mucoromycota,mortierellomycetes,mortierellales,mortierellaceae,mortierella,mortierella horticola
Zotu24,fungi,ascomycota,dothideomycetes,pleosporales,leptosphaeriaceae,leptosphaeria,leptosphaeria microscopica
Zotu25,fungi,ascomycota,dothideomycetes,pleosporales,pleosporaceae,alternaria,lewia infectoria
Zotu26,fungi,mucoromycota,mortierellomycetes,mortierellales,mortierellaceae,mortierella,mortierella elongata
Zotu27,fungi,ascomycota,sordariomycetes,diaporthales,diaporthaceae,diaporthe,diaporthe longicolla
Zotu28,fungi,ascomycota,dothideomycetes,pleosporales,phaeosphaeriaceae,phaeosphaeriopsis,phaeosphaeriopsis musae
Zotu29,fungi,ascomycota,dothideomycetes,pleosporales,didymellaceae,phoma,phoma herbarum
Zotu30,fungi,basidiomycota,agaricomycetes,amylocorticiales,amylocorticiaceae,plicaturopsis,plicaturopsis crispa
Zotu31,fungi,basidiomycota,tremellomycetes,tremellales,cryptococcaceae,cryptococcus,cryptococcus magnus
Zotu32,fungi,ascomycota,dothideomycetes,pleosporales,leptosphaeriaceae,leptosphaeria,leptosphaeria microscopica
Zotu33,fungi,ascomycota,dothideomycetes,pleosporales,pleosporaceae,alternaria,lewia infectoria
Zotu36,fungi,ascomycota,dothideomycetes,pleosporales,leptosphaeriaceae,leptosphaeria,leptosphaeria microscopica
